c Mesh Graph
c 50 Rows, 50 columns, capacities in range [0, 100]
p max 2502 7450
n 1 s
n 2502 t
a 1 51 300
a 1 50 300
a 1 49 300
a 1 48 300
a 1 47 300
a 1 46 300
a 1 45 300
a 1 44 300
a 1 43 300
a 1 42 300
a 1 41 300
a 1 40 300
a 1 39 300
a 1 38 300
a 1 37 300
a 1 36 300
a 1 35 300
a 1 34 300
a 1 33 300
a 1 32 300
a 1 31 300
a 1 30 300
a 1 29 300
a 1 28 300
a 1 27 300
a 1 26 300
a 1 25 300
a 1 24 300
a 1 23 300
a 1 22 300
a 1 21 300
a 1 20 300
a 1 19 300
a 1 18 300
a 1 17 300
a 1 16 300
a 1 15 300
a 1 14 300
a 1 13 300
a 1 12 300
a 1 11 300
a 1 10 300
a 1 9 300
a 1 8 300
a 1 7 300
a 1 6 300
a 1 5 300
a 1 4 300
a 1 3 300
a 1 2 300
a 2 53 11
a 2 52 10
a 2 101 50
a 3 54 16
a 3 53 3
a 3 52 65
a 4 55 66
a 4 54 46
a 4 53 43
a 5 56 98
a 5 55 27
a 5 54 30
a 6 57 11
a 6 56 32
a 6 55 45
a 7 58 95
a 7 57 4
a 7 56 6
a 8 59 50
a 8 58 88
a 8 57 74
a 9 60 2
a 9 59 48
a 9 58 67
a 10 61 72
a 10 60 73
a 10 59 37
a 11 62 15
a 11 61 55
a 11 60 3
a 12 63 76
a 12 62 56
a 12 61 18
a 13 64 30
a 13 63 21
a 13 62 80
a 14 65 76
a 14 64 63
a 14 63 95
a 15 66 54
a 15 65 44
a 15 64 12
a 16 67 37
a 16 66 89
a 16 65 62
a 17 68 93
a 17 67 94
a 17 66 72
a 18 69 80
a 18 68 19
a 18 67 19
a 19 70 27
a 19 69 37
a 19 68 68
a 20 71 51
a 20 70 74
a 20 69 69
a 21 72 58
a 21 71 28
a 21 70 40
a 22 73 13
a 22 72 97
a 22 71 6
a 23 74 85
a 23 73 77
a 23 72 33
a 24 75 99
a 24 74 23
a 24 73 63
a 25 76 43
a 25 75 35
a 25 74 90
a 26 77 83
a 26 76 96
a 26 75 43
a 27 78 28
a 27 77 19
a 27 76 32
a 28 79 98
a 28 78 37
a 28 77 24
a 29 80 35
a 29 79 56
a 29 78 3
a 30 81 60
a 30 80 77
a 30 79 81
a 31 82 39
a 31 81 16
a 31 80 31
a 32 83 36
a 32 82 74
a 32 81 40
a 33 84 12
a 33 83 6
a 33 82 5
a 34 85 86
a 34 84 20
a 34 83 89
a 35 86 20
a 35 85 9
a 35 84 40
a 36 87 67
a 36 86 4
a 36 85 34
a 37 88 86
a 37 87 35
a 37 86 16
a 38 89 74
a 38 88 58
a 38 87 95
a 39 90 30
a 39 89 12
a 39 88 92
a 40 91 6
a 40 90 92
a 40 89 78
a 41 92 73
a 41 91 74
a 41 90 37
a 42 93 46
a 42 92 14
a 42 91 76
a 43 94 4
a 43 93 70
a 43 92 11
a 44 95 75
a 44 94 10
a 44 93 74
a 45 96 36
a 45 95 49
a 45 94 59
a 46 97 39
a 46 96 82
a 46 95 31
a 47 98 25
a 47 97 49
a 47 96 97
a 48 99 34
a 48 98 43
a 48 97 82
a 49 100 45
a 49 99 35
a 49 98 56
a 50 101 36
a 50 100 12
a 50 99 37
a 51 52 9
a 51 101 1
a 51 100 42
a 52 103 74
a 52 102 28
a 52 151 14
a 53 104 43
a 53 103 38
a 53 102 12
a 54 105 53
a 54 104 63
a 54 103 67
a 55 106 1
a 55 105 73
a 55 104 41
a 56 107 35
a 56 106 3
a 56 105 76
a 57 108 83
a 57 107 100
a 57 106 66
a 58 109 26
a 58 108 33
a 58 107 90
a 59 110 12
a 59 109 40
a 59 108 75
a 60 111 75
a 60 110 76
a 60 109 19
a 61 112 75
a 61 111 17
a 61 110 54
a 62 113 2
a 62 112 83
a 62 111 15
a 63 114 91
a 63 113 46
a 63 112 88
a 64 115 5
a 64 114 12
a 64 113 31
a 65 116 78
a 65 115 52
a 65 114 35
a 66 117 80
a 66 116 80
a 66 115 87
a 67 118 31
a 67 117 45
a 67 116 21
a 68 119 64
a 68 118 87
a 68 117 56
a 69 120 3
a 69 119 61
a 69 118 33
a 70 121 31
a 70 120 80
a 70 119 44
a 71 122 99
a 71 121 85
a 71 120 70
a 72 123 33
a 72 122 51
a 72 121 97
a 73 124 78
a 73 123 39
a 73 122 50
a 74 125 89
a 74 124 21
a 74 123 93
a 75 126 93
a 75 125 7
a 75 124 97
a 76 127 24
a 76 126 93
a 76 125 74
a 77 128 68
a 77 127 66
a 77 126 6
a 78 129 6
a 78 128 21
a 78 127 36
a 79 130 19
a 79 129 53
a 79 128 99
a 80 131 50
a 80 130 48
a 80 129 54
a 81 132 86
a 81 131 17
a 81 130 36
a 82 133 37
a 82 132 65
a 82 131 34
a 83 134 27
a 83 133 15
a 83 132 67
a 84 135 47
a 84 134 7
a 84 133 44
a 85 136 53
a 85 135 3
a 85 134 85
a 86 137 97
