c Mesh Graph
c 25 Rows, 25 columns, capacities in range [0, 50]
p max 627 1850
n 1 s
n 627 t
a 1 26 150
a 1 25 150
a 1 24 150
a 1 23 150
a 1 22 150
a 1 21 150
a 1 20 150
a 1 19 150
a 1 18 150
a 1 17 150
a 1 16 150
a 1 15 150
a 1 14 150
a 1 13 150
a 1 12 150
a 1 11 150
a 1 10 150
a 1 9 150
a 1 8 150
a 1 7 150
a 1 6 150
a 1 5 150
a 1 4 150
a 1 3 150
a 1 2 150
a 2 28 5
a 2 27 30
a 2 51 12
a 3 29 48
a 3 28 12
a 3 27 5
a 4 30 26
a 4 29 48
a 4 28 43
a 5 31 50
a 5 30 17
a 5 29 48
a 6 32 31
a 6 31 7
a 6 30 30
a 7 33 38
a 7 32 3
a 7 31 10
a 8 34 44
a 8 33 46
a 8 32 44
a 9 35 14
a 9 34 7
a 9 33 15
a 10 36 15
a 10 35 15
a 10 34 10
a 11 37 33
a 11 36 2
a 11 35 34
a 12 38 14
a 12 37 15
a 12 36 9
a 13 39 27
a 13 38 20
a 13 37 13
a 14 40 27
a 14 39 14
a 14 38 10
a 15 41 43
a 15 40 13
a 15 39 37
a 16 42 50
a 16 41 44
a 16 40 36
a 17 43 4
a 17 42 3
a 17 41 19
a 18 44 2
a 18 43 46
a 18 42 6
a 19 45 8
a 19 44 12
a 19 43 49
a 20 46 24
a 20 45 23
a 20 44 15
a 21 47 26
a 21 46 6
a 21 45 29
a 22 48 42
a 22 47 14
a 22 46 11
a 23 49 13
a 23 48 26
a 23 47 24
a 24 50 26
a 24 49 38
a 24 48 1
a 25 51 38
a 25 50 26
a 25 49 27
a 26 27 32
a 26 51 12
a 26 50 21
a 27 53 36
a 27 52 30
a 27 76 20
a 28 54 34
a 28 53 37
a 28 52 26
a 29 55 45
a 29 54 35
a 29 53 27
a 30 56 18
a 30 55 49
a 30 54 36
a 31 57 25
a 31 56 28
a 31 55 9
a 32 58 41
a 32 57 40
a 32 56 34
a 33 59 18
a 33 58 16
a 33 57 28
a 34 60 5
a 34 59 18
a 34 58 40
a 35 61 31
a 35 60 46
a 35 59 18
a 36 62 44
a 36 61 16
a 36 60 5
a 37 63 25
a 37 62 38
a 37 61 38
a 38 64 11
a 38 63 13
a 38 62 26
a 39 65 47
a 39 64 39
a 39 63 9
a 40 66 48
a 40 65 24
a 40 64 5
a 41 67 27
a 41 66 32
a 41 65 24
a 42 68 16
a 42 67 18
a 42 66 1
a 43 69 31
a 43 68 47
a 43 67 41
a 44 70 50
a 44 69 36
a 44 68 8
a 45 71 45
a 45 70 3
a 45 69 15
a 46 72 11
a 46 71 10
a 46 70 47
a 47 73 48
a 47 72 49
a 47 71 42
a 48 74 12
a 48 73 24
a 48 72 18
a 49 75 50
a 49 74 34
a 49 73 28
a 50 76 25
a 50 75 41
a 50 74 26
a 51 52 8
a 51 76 14
a 51 75 23
a 52 78 27
a 52 77 16
a 52 101 49
a 53 79 23
a 53 78 6
a 53 77 17
a 54 80 9
a 54 79 16
a 54 78 49
a 55 81 13
a 55 80 32
a 55 79 49
a 56 82 24
a 56 81 30
a 56 80 43
a 57 83 23
a 57 82 21
a 57 81 3
a 58 84 48
a 58 83 38
a 58 82 2
a 59 85 34
a 59 84 17
a 59 83 13
a 60 86 24
a 60 85 42
a 60 84 14
a 61 87 39
a 61 86 15
a 61 85 40
a 62 88 5
a 62 87 15
a 62 86 48
a 63 89 12
a 63 88 31
a 63 87 24
a 64 90 27
a 64 89 30
a 64 88 49
a 65 91 10
a 65 90 30
a 65 89 7
a 66 92 39
a 66 91 22
a 66 90 21
a 67 93 9
a 67 92 27
a 67 91 45
a 68 94 48
a 68 93 30
a 68 92 19
a 69 95 14
a 69 94 45
a 69 93 16
a 70 96 8
a 70 95 8
a 70 94 49
a 71 97 24
a 71 96 48
a 71 95 24
a 72 98 38
a 72 97 47
a 72 96 13
a 73 99 21
a 73 98 22
a 73 97 19
a 74 100 2
a 74 99 20
a 74 98 30
a 75 101 31
a 75 100 28
a 75 99 9
a 76 77 4
a 76 101 49
a 76 100 20
a 77 103 30
a 77 102 45
a 77 126 9
a 78 104 10
a 78 103 13
a 78 102 19
a 79 105 6
a 79 104 28
a 79 103 17
a 80 106 13
a 80 105 29
a 80 104 32
a 81 107 12
a 81 106 2
a 81 105 39
a 82 108 10
a 82 107 16
a 82 106 12
a 83 109 32
a 83 108 34
a 83 107 50
a 84 110 1
a 84 109 16
a 84 108 22
a 85 111 29
a 85 110 26
a 85 109 23
a 86 112 29
a 86 111 45
a 86 110 3
a 87 113 23
a 87 112 5
a 87 111 6
a 88 114 37
a 88 113 24
a 88 112 38
a 89 115 14
a 89 114 40
a 89 113 49
a 90 116 42
a 90 115 23
a 90 114 4
a 91 117 46
a 91 116 12
a 91 115 18
a 92 118 11
a 92 117 25
a 92 116 30
a 93 119 47
a 93 118 26
a 93 117 39
